char_id,job,star,charName,infoLink
1,caster,5,薄綠,https://www.diopoo.com/ark/character/723918
2,warrior,4,芳汀,https://www.diopoo.com/ark/character/723916
3,sniper,4,酸糖,https://www.diopoo.com/ark/character/723870
4,tank,6,森蚺,https://www.diopoo.com/ark/character/723868
5,warrior,5,燧石,https://www.diopoo.com/ark/character/723860
6,caster,5,特米米,https://www.diopoo.com/ark/character/723859
7,warrior,6,棘刺,https://www.diopoo.com/ark/character/723810
8,special,4,孑,https://www.diopoo.com/ark/character/723807
9,sniper,5,安哲拉,https://www.diopoo.com/ark/character/723805
10,pioneer,5,賈維,https://www.diopoo.com/ark/character/723801
11,caster,5,蜜蠟,https://www.diopoo.com/ark/character/723798
12,support,5,稀音,https://www.diopoo.com/ark/character/723786
13,support,6,鈴蘭,https://www.diopoo.com/ark/character/723622
14,warrior,5,斷崖,https://www.diopoo.com/ark/character/723603
15,medic,5,亞葉,https://www.diopoo.com/ark/character/723598
16,caster,4,卡達,https://www.diopoo.com/ark/character/723596
17,sniper,6,早露,https://www.diopoo.com/ark/character/723537
18,caster,5,萊恩哈特,https://www.diopoo.com/ark/character/723457
19,caster,5,苦艾,https://www.diopoo.com/ark/character/723453
20,support,4,波登可,https://www.diopoo.com/ark/character/723452
21,support,5,月禾,https://www.diopoo.com/ark/character/723434
22,tank,5,石棉,https://www.diopoo.com/ark/character/723426
23,special,1,THRM-EX,https://www.diopoo.com/ark/character/723197
24,pioneer,5,極境,https://www.diopoo.com/ark/character/723194
25,special,6,溫蒂,https://www.diopoo.com/ark/character/723193
26,sniper,6,W,https://www.diopoo.com/ark/character/723192
27,special,6,傀影,https://www.diopoo.com/ark/character/722587
28,support,5,巫戀,https://www.diopoo.com/ark/character/722580
29,warrior,5,鑄鐵,https://www.diopoo.com/ark/character/722576
30,warrior,4,刻刀,https://www.diopoo.com/ark/character/722570
31,warrior,4,斷罪者,https://www.diopoo.com/ark/character/722461
32,caster,6,霜星,https://www.diopoo.com/ark/character/722455
33,pioneer,6,風笛,https://www.diopoo.com/ark/character/722384
34,sniper,5,懾砂,https://www.diopoo.com/ark/character/722376
35,warrior,5,柏喙,https://www.diopoo.com/ark/character/722366
36,warrior,4,宴,https://www.diopoo.com/ark/character/722362
37,medic,4,清流,https://www.diopoo.com/ark/character/722006
38,caster,6,刻俄柏,https://www.diopoo.com/ark/character/721359
39,caster,5,驚蟄,https://www.diopoo.com/ark/character/721358
40,tank,5,吽,https://www.diopoo.com/ark/character/721270
41,tank,6,年,https://www.diopoo.com/ark/character/721269
42,special,6,阿,https://www.diopoo.com/ark/character/721267
43,special,5,雪雉,https://www.diopoo.com/ark/character/721260
